0.000,0.000,0.000,0.000,0.000,0.000
4.011,-4.011,0.000,-4.011,4.011,0.000
8.021,-8.021,0.000,-8.021,8.021,0.000
11.975,-11.975,0.000,-11.975,11.975,0.000
15.986,-15.986,0.000,-15.986,15.986,0.000
19.996,-19.996,0.000,-19.996,19.996,0.000
24.007,-24.007,0.000,-24.007,24.007,0.000
28.018,-28.018,0.000,-28.018,28.018,0.000
32.028,-32.028,0.000,-32.028,32.028,0.000
35.982,-35.982,0.000,-35.982,35.982,0.000
39.992,-39.992,0.000,-39.992,39.992,0.000
43.487,-43.487,0.000,-43.487,43.487,0.000
46.983,-46.983,0.000,-46.983,46.983,0.000
50.478,-50.478,0.000,-50.478,50.478,0.000
53.973,-53.973,0.000,-53.973,53.973,0.000
57.525,-57.525,0.000,-57.525,57.525,0.000
61.020,-61.020,0.000,-61.020,61.020,0.000
64.515,-64.515,0.000,-64.515,64.515,0.000
68.010,-68.010,0.000,-68.010,68.010,0.000
71.505,-71.505,0.000,-71.505,71.505,0.000
75.000,-75.000,0.000,-75.000,75.000,0.000
71.677,-74.026,0.000,-72.479,69.213,0.000
68.411,-72.995,0.000,-70.015,63.426,0.000
65.088,-72.021,0.000,-67.494,57.582,0.000
61.822,-70.989,0.000,-64.973,51.795,0.000
58.499,-70.015,0.000,-62.510,46.009,0.000
55.176,-68.984,0.000,-59.989,40.222,0.000
51.910,-68.010,0.000,-57.525,34.377,0.000
48.587,-66.979,0.000,-55.004,28.591,0.000
45.321,-66.005,0.000,-52.483,22.804,0.000
41.998,-64.973,0.000,-50.019,17.017,0.000
38.789,-62.510,0.000,-48.988,11.287,0.000
35.581,-59.989,0.000,-48.014,5.615,0.000
32.372,-57.525,0.000,-46.983,-0.115,0.000
29.221,-55.004,0.000,-46.009,-5.787,0.000
26.012,-52.483,0.000,-44.977,-11.516,0.000
22.804,-50.019,0.000,-44.003,-17.189,0.000
19.595,-47.498,0.000,-42.972,-22.918,0.000
16.387,-44.977,0.000,-41.998,-28.591,0.000
13.178,-42.513,0.000,-41.024,-34.320,0.000
10.027,-39.992,0.000,-39.992,-39.992,0.000
