0.0,0.0,0.0,0.0
0.07,-0.07,-0.07,0.07
0.14,-0.14,-0.14,0.14
0.209,-0.209,-0.209,0.209
0.279,-0.279,-0.279,0.279
0.349,-0.349,-0.349,0.349
0.419,-0.419,-0.419,0.419
0.489,-0.489,-0.489,0.489
0.559,-0.559,-0.559,0.559
0.628,-0.628,-0.628,0.628
0.698,-0.698,-0.698,0.698
0.759,-0.759,-0.759,0.759
0.82,-0.82,-0.82,0.82
0.881,-0.881,-0.881,0.881
0.942,-0.942,-0.942,0.942
1.004,-1.004,-1.004,1.004
1.065,-1.065,-1.065,1.065
1.126,-1.126,-1.126,1.126
1.187,-1.187,-1.187,1.187
1.248,-1.248,-1.248,1.248
1.309,-1.309,-1.309,1.309
1.265,-1.208,-1.251,1.265
1.222,-1.107,-1.194,1.222
1.178,-1.005,-1.136,1.178
1.134,-0.904,-1.079,1.134
1.091,-0.803,-1.021,1.091
1.047,-0.702,-0.963,1.047
1.004,-0.6,-0.906,1.004
0.96,-0.499,-0.848,0.96
0.916,-0.398,-0.791,0.916
0.873,-0.297,-0.733,0.873
0.855,-0.197,-0.677,0.855
0.838,-0.098,-0.621,0.838
0.82,0.002,-0.565,0.82
0.803,0.101,-0.51,0.803
0.785,0.201,-0.454,0.785
0.768,0.3,-0.398,0.768
0.75,0.4,-0.342,0.75
0.733,0.499,-0.286,0.733
0.716,0.599,-0.23,0.716
0.698,0.698,-0.175,0.698
0.663,0.559,-0.122,0.716
0.628,0.419,-0.07,0.733
0.593,0.279,-0.017,0.75
0.559,0.14,0.035,0.768
0.524,0.0,0.087,0.785
0.489,-0.14,0.14,0.803
0.454,-0.279,0.192,0.82
0.419,-0.419,0.244,0.838
0.384,-0.559,0.297,0.855
0.349,-0.698,0.349,0.873
0.349,-0.785,0.471,0.785
0.349,-0.873,0.593,0.698
0.349,-0.96,0.716,0.611
0.349,-1.047,0.838,0.524
0.349,-1.134,0.96,0.436
0.349,-1.222,1.082,0.349
0.349,-1.309,1.204,0.262
0.349,-1.396,1.326,0.175
0.349,-1.484,1.449,0.087
0.349,-1.571,1.571,0.0
0.349,-1.658,1.693,-0.087
0.349,-1.745,1.815,-0.175
0.349,-1.833,1.937,-0.262
0.349,-1.92,2.059,-0.349
0.349,-2.007,2.182,-0.436
